               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11138,            0.020076,            0.085628,           0.0012782,             0.16582,           0.0012979,          0.00031344,            0.030941,           0.0099205,            0.027538,              0.0874,              0.0014,              0.0014
                   1,            0.086352,            0.023699,            0.083909,           0.0032593,             0.46422,            0.008656,           0.0029095,            0.024029,            0.010082,            0.026941,            0.073897,           0.0028974,           0.0028974
                   2,            0.072443,            0.023926,            0.081733,           0.0085352,             0.48817,            0.021006,           0.0074515,            0.022204,           0.0089848,            0.026485,            0.060392,           0.0043921,           0.0043921
                   3,            0.064059,            0.024043,            0.079683,           0.0048356,             0.55571,            0.027986,            0.010852,             0.02251,           0.0072524,            0.026329,            0.046884,           0.0058841,           0.0058841
                   4,            0.061551,            0.022828,             0.07882,           0.0049148,             0.59385,            0.026636,           0.0088453,            0.020691,           0.0075908,            0.026216,            0.033373,           0.0073734,           0.0073734
