               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12343,             0.01248,            0.086603,          2.2514e-05,            0.026087,          1.7508e-05,          3.5017e-06,            0.027258,           0.0083936,            0.018616,              0.0964,              0.0004,              0.0004
                   1,             0.11874,            0.012404,            0.083534,          3.1924e-05,            0.036957,          2.5166e-05,          4.5808e-06,            0.026333,           0.0076701,            0.018578,            0.091899,          0.00089919,          0.00089919
                   2,             0.10838,            0.012045,            0.086857,          0.00011392,            0.033333,           0.0001607,          3.3807e-05,             0.02423,           0.0069383,             0.01852,            0.087397,           0.0013975,           0.0013975
                   3,            0.088895,            0.011164,            0.078652,          0.00020184,             0.10036,          0.00034244,          0.00011683,            0.020963,           0.0058968,            0.018164,            0.082895,           0.0018949,           0.0018949
                   4,            0.093177,            0.012445,            0.083056,           0.0003068,             0.16594,          0.00065055,          0.00013189,            0.019992,           0.0051604,            0.017891,            0.078391,           0.0023914,           0.0023914
                   5,            0.086044,            0.012009,            0.082327,            0.000407,             0.23623,          0.00096893,          0.00025822,            0.018276,           0.0048388,            0.017776,            0.073887,            0.002887,            0.002887
                   6,            0.069844,           0.0096477,            0.065066,          0.00041658,             0.21196,           0.0009466,          0.00027681,            0.017424,           0.0042315,            0.017598,            0.069382,           0.0033816,           0.0033816
                   7,            0.081308,            0.012445,            0.081392,          0.00056044,             0.29638,           0.0013188,          0.00033195,            0.017281,           0.0039869,            0.017459,            0.064875,           0.0038754,           0.0038754
                   8,            0.076397,            0.010952,            0.081132,          0.00079104,             0.41957,           0.0043866,           0.0018473,            0.014664,           0.0037883,            0.017414,            0.060368,           0.0043683,           0.0043683
                   9,            0.071101,            0.012733,              0.0789,           0.0011304,             0.40942,           0.0058288,           0.0020803,            0.014671,           0.0032482,            0.017376,             0.05586,           0.0048603,           0.0048603
                  10,            0.064722,            0.010098,            0.073594,           0.0011953,             0.43478,            0.027033,           0.0063131,            0.014736,           0.0031844,            0.017331,            0.051351,           0.0053514,           0.0053514
                  11,            0.066224,            0.010568,            0.073469,           0.0012876,             0.44928,            0.011779,           0.0045187,            0.014346,           0.0030143,            0.017096,            0.046842,           0.0058416,           0.0058416
                  12,            0.069302,            0.011736,            0.077005,           0.0013994,             0.43297,           0.0069695,           0.0030337,             0.01425,           0.0030786,            0.016918,            0.042331,           0.0063309,           0.0063309
                  13,            0.066101,            0.010955,            0.071825,           0.0016342,             0.32174,           0.0098178,           0.0038236,            0.015814,           0.0025668,            0.016994,            0.037819,           0.0068193,           0.0068193
                  14,            0.067688,            0.012293,            0.076333,           0.0012516,             0.29094,            0.033088,           0.0059759,            0.015701,           0.0023959,            0.016925,            0.033307,           0.0073068,           0.0073068
                  15,             0.06103,            0.010587,            0.070517,           0.0019489,             0.37572,           0.0098966,           0.0034705,            0.015382,           0.0021456,            0.016956,            0.028793,           0.0077933,           0.0077933
                  16,            0.064059,            0.011004,            0.076383,           0.0032717,             0.43116,            0.019814,           0.0082181,             0.01377,           0.0020989,            0.016734,            0.024279,            0.008279,            0.008279
                  17,            0.064195,            0.011619,            0.076161,           0.0032866,             0.47536,            0.034993,            0.016718,            0.012389,           0.0022371,            0.016727,            0.019764,           0.0087638,           0.0087638
                  18,            0.069274,            0.012465,            0.076487,           0.0021549,             0.47826,            0.024111,           0.0098792,             0.01432,           0.0022444,            0.016677,            0.015248,           0.0092477,           0.0092477
                  19,            0.061657,             0.01083,            0.074097,           0.0020124,             0.47717,            0.020924,           0.0068729,            0.014988,           0.0024195,            0.016613,            0.010731,           0.0097307,           0.0097307
                  20,            0.059733,           0.0086189,            0.070135,           0.0010983,             0.47826,             0.01865,           0.0083892,            0.013209,           0.0027927,            0.016594,             0.00982,             0.00982,             0.00982
                  21,            0.057284,            0.010181,            0.071139,            0.001124,             0.47645,            0.018242,           0.0066022,            0.014223,           0.0029507,            0.016467,             0.00982,             0.00982,             0.00982
                  22,            0.065311,            0.010298,             0.07614,             0.91324,           0.0072464,           0.0036586,           0.0009404,            0.017582,           0.0027064,            0.016569,            0.009811,            0.009811,            0.009811
                  23,            0.056862,           0.0090513,            0.067344,           0.0011854,             0.37391,           0.0039258,           0.0010645,            0.017934,            0.003071,            0.019652,            0.009802,            0.009802,            0.009802
                  24,            0.059704,            0.011909,            0.071887,          0.00093561,             0.26486,            0.002082,          0.00070277,            0.015494,           0.0024982,            0.017198,            0.009793,            0.009793,            0.009793
                  25,            0.063117,            0.012461,            0.073244,             0.83808,            0.018116,            0.011155,             0.00724,            0.015112,           0.0020365,             0.01639,            0.009784,            0.009784,            0.009784
                  26,            0.062326,            0.010079,            0.070784,             0.87776,             0.01087,           0.0086203,            0.001846,            0.016225,           0.0035978,            0.018826,            0.009775,            0.009775,            0.009775
                  27,            0.060192,           0.0099902,            0.070227,             0.52296,            0.052174,           0.0041971,           0.0012725,            0.018591,            0.007225,            0.025005,            0.009766,            0.009766,            0.009766
