               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.09311,            0.027285,            0.083956,            0.028171,             0.13506,             0.01414,           0.0054661,             0.02221,            0.013066,            0.026691,            0.070769,           0.0032479,           0.0032479
                   1,            0.062702,            0.028031,            0.079701,            0.013675,             0.59131,            0.035493,            0.016297,            0.018925,           0.0077628,            0.026245,            0.040737,           0.0065486,           0.0065486
                   2,            0.054629,            0.025537,            0.078223,           0.0096688,             0.68136,             0.03775,            0.017689,             0.01702,           0.0090245,            0.025844,            0.010671,           0.0098164,           0.0098164
                   3,            0.047727,            0.024236,            0.077556,            0.022294,             0.32021,            0.019529,           0.0068671,            0.020481,            0.011518,            0.025829,           0.0098515,           0.0098515,           0.0098515
                   4,            0.044184,            0.023008,            0.076243,             0.51808,            0.060987,            0.055768,            0.027164,            0.016553,           0.0096416,            0.024992,           0.0098515,           0.0098515,           0.0098515
                   5,            0.040781,            0.022489,            0.074585,             0.21765,             0.10309,            0.073203,            0.031457,             0.01364,             0.01151,            0.024606,            0.009802,            0.009802,            0.009802
                   6,            0.039299,            0.021529,            0.072882,             0.31228,              0.1357,             0.10362,            0.046823,            0.013187,            0.010179,            0.023167,           0.0097525,           0.0097525,           0.0097525
                   7,            0.038589,            0.021462,            0.071206,             0.21467,             0.16574,             0.13522,            0.060516,            0.012979,           0.0080504,             0.02228,            0.009703,            0.009703,            0.009703
                   8,            0.037208,            0.021633,             0.06935,             0.27732,             0.25597,             0.14904,            0.079498,            0.010392,           0.0082724,            0.023715,           0.0096535,           0.0096535,           0.0096535
                   9,            0.037272,            0.020565,            0.067351,             0.17533,            0.097374,            0.087135,            0.035884,            0.015873,           0.0096342,            0.021802,            0.009604,            0.009604,            0.009604
                  10,            0.036305,            0.020912,            0.065533,              0.2596,             0.23798,               0.183,            0.091801,             0.01157,           0.0074852,            0.020307,           0.0095545,           0.0095545,           0.0095545
                  11,            0.036004,             0.02057,            0.064246,             0.24602,             0.29604,              0.2033,             0.10934,            0.010932,           0.0078114,            0.020825,            0.009505,            0.009505,            0.009505
                  12,            0.035527,            0.020693,            0.063211,             0.28855,             0.33962,             0.23705,             0.11665,            0.013265,           0.0073167,            0.020145,           0.0094555,           0.0094555,           0.0094555
                  13,            0.035476,            0.020485,            0.061335,             0.27942,             0.30388,             0.24667,             0.12624,            0.013831,           0.0084539,            0.018407,            0.009406,            0.009406,            0.009406
                  14,            0.035247,             0.02045,            0.059264,             0.24686,             0.24668,             0.18119,            0.071321,            0.016169,           0.0073504,            0.021052,           0.0093565,           0.0093565,           0.0093565
                  15,            0.035514,            0.020533,            0.058757,             0.34354,             0.35077,             0.30413,             0.14827,            0.010617,           0.0084406,            0.018868,            0.009307,            0.009307,            0.009307
                  16,             0.03515,            0.020154,            0.057318,             0.37273,             0.39689,             0.34672,             0.19683,           0.0089143,           0.0072195,            0.018165,           0.0092575,           0.0092575,           0.0092575
                  17,            0.035311,            0.020274,            0.055896,             0.41021,             0.43315,             0.41834,             0.23731,           0.0085738,           0.0068395,            0.015767,            0.009208,            0.009208,            0.009208
                  18,            0.034766,            0.019903,            0.055585,              0.4655,             0.46701,             0.44469,             0.24012,           0.0080739,           0.0093513,            0.015894,           0.0091585,           0.0091585,           0.0091585
