               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.032513,            0.019565,            0.041566,             0.65256,             0.57783,             0.62943,             0.34505,           0.0091199,           0.0080878,           0.0093849,            0.009685,            0.009685,            0.009685
                  37,             0.03169,            0.019165,            0.041697,             0.71343,             0.63406,             0.70388,             0.47236,            0.005809,           0.0060585,            0.011146,            0.009676,            0.009676,            0.009676
                  38,            0.031666,            0.019147,            0.040912,              0.7336,             0.65058,              0.7272,             0.44792,           0.0080365,           0.0066149,           0.0084918,            0.009667,            0.009667,            0.009667
                  39,            0.031878,            0.019375,            0.040222,             0.74462,             0.70712,             0.76788,             0.46798,           0.0080178,           0.0073165,           0.0077922,            0.009658,            0.009658,            0.009658
                  40,            0.031364,            0.019221,            0.039311,             0.73535,             0.66085,             0.72289,             0.42755,           0.0084906,           0.0070208,           0.0091854,            0.009649,            0.009649,            0.009649
                  41,            0.031448,            0.019422,            0.038377,              0.7366,             0.65962,             0.72555,             0.39437,           0.0097049,           0.0080125,           0.0072542,             0.00964,             0.00964,             0.00964
                  42,            0.031553,            0.018985,            0.037137,             0.71347,             0.62038,             0.70835,             0.36903,           0.0097712,           0.0096894,            0.008186,            0.009631,            0.009631,            0.009631
                  43,            0.030907,            0.018781,            0.037757,             0.68904,             0.61031,             0.67322,             0.36865,           0.0087887,           0.0089233,           0.0092288,            0.009622,            0.009622,            0.009622
                  44,             0.03123,            0.018778,            0.037549,             0.64609,             0.62481,             0.67468,             0.40388,           0.0074736,            0.007398,           0.0094708,            0.009613,            0.009613,            0.009613
                  45,            0.030909,            0.018637,            0.036718,             0.74238,             0.62521,             0.69059,             0.37455,           0.0091674,           0.0073014,           0.0091854,            0.009604,            0.009604,            0.009604
                  46,            0.031111,            0.019023,            0.035077,             0.73146,             0.60791,             0.68491,             0.36937,            0.010188,           0.0078802,           0.0097191,            0.009595,            0.009595,            0.009595
                  47,            0.030995,            0.019102,             0.03474,             0.57841,             0.53293,             0.57404,             0.32471,           0.0098085,           0.0074799,           0.0098076,            0.009586,            0.009586,            0.009586
                  48,            0.030613,            0.018921,            0.035897,              0.7202,              0.6905,             0.74869,             0.43323,           0.0084474,           0.0071566,           0.0075557,            0.009577,            0.009577,            0.009577
                  49,            0.030551,            0.018649,             0.03409,             0.75806,             0.71409,             0.78467,             0.49759,           0.0064869,           0.0073186,           0.0075036,            0.009568,            0.009568,            0.009568
                  50,            0.030373,            0.019066,            0.033835,             0.70158,             0.64115,             0.70104,             0.39199,           0.0091154,           0.0075941,           0.0080531,            0.009559,            0.009559,            0.009559
                  51,            0.030213,            0.018891,            0.033942,             0.70457,             0.73911,             0.78166,             0.54429,           0.0060014,           0.0065544,            0.007025,             0.00955,             0.00955,             0.00955
                  52,            0.030463,            0.018803,            0.034185,             0.70896,             0.61361,             0.67679,             0.34983,            0.011078,           0.0072837,            0.007203,            0.009541,            0.009541,            0.009541
                  53,            0.030128,            0.018968,            0.033514,             0.72903,             0.71104,             0.78385,             0.51058,           0.0077525,            0.006746,           0.0063531,            0.009532,            0.009532,            0.009532
                  54,            0.029837,            0.019234,            0.033891,             0.67371,             0.71577,             0.75499,             0.53011,            0.005824,           0.0070456,           0.0075617,            0.009523,            0.009523,            0.009523
                  55,            0.029903,            0.019195,            0.032519,             0.72995,             0.76901,             0.81878,              0.5288,           0.0068458,           0.0069256,           0.0052248,            0.009514,            0.009514,            0.009514
                  56,            0.029368,            0.018669,             0.03176,             0.73716,             0.73212,             0.79849,             0.49027,           0.0077576,           0.0068713,           0.0057093,            0.009505,            0.009505,            0.009505
                  57,            0.029454,            0.018771,            0.032341,             0.78852,             0.76554,             0.82971,             0.54857,           0.0065862,           0.0064453,           0.0062428,            0.009496,            0.009496,            0.009496
                  58,            0.029694,            0.018636,            0.031318,             0.81654,             0.78648,             0.86053,             0.61165,           0.0057084,           0.0065411,           0.0045902,            0.009487,            0.009487,            0.009487
                  59,            0.029193,            0.018876,            0.031623,             0.71587,             0.68977,             0.77325,             0.46612,           0.0082597,           0.0083269,           0.0058177,            0.009478,            0.009478,            0.009478
                  60,            0.029249,            0.018203,            0.030732,             0.74319,             0.70941,             0.78305,             0.53836,           0.0069435,           0.0062641,            0.006088,            0.009469,            0.009469,            0.009469
                  61,            0.028901,            0.018484,             0.03141,             0.70763,             0.72427,              0.7803,             0.47242,           0.0079439,           0.0079697,           0.0052612,             0.00946,             0.00946,             0.00946
                  62,            0.028713,            0.018792,            0.030982,             0.86127,             0.78626,             0.86248,             0.54669,           0.0070899,           0.0067811,           0.0048938,            0.009451,            0.009451,            0.009451
                  63,            0.029564,            0.018462,            0.030583,             0.79474,             0.71174,             0.79374,             0.47039,           0.0095156,           0.0073547,           0.0054027,            0.009442,            0.009442,            0.009442
                  64,            0.028854,            0.018648,            0.031161,               0.782,             0.70788,             0.78355,              0.4661,           0.0084267,           0.0071183,           0.0067918,            0.009433,            0.009433,            0.009433
                  65,            0.029701,            0.018284,            0.029759,             0.70745,             0.76085,             0.80512,             0.54329,           0.0068676,           0.0063216,           0.0045253,            0.009424,            0.009424,            0.009424
                  66,            0.028971,            0.018546,            0.029403,             0.77509,             0.70002,             0.79778,             0.54209,           0.0077046,           0.0059043,           0.0044253,            0.009415,            0.009415,            0.009415
                  67,            0.028437,            0.018117,            0.030635,              0.7054,             0.77309,             0.83184,             0.60109,           0.0059091,           0.0062259,           0.0054186,            0.009406,            0.009406,            0.009406
                  68,            0.028595,             0.01834,            0.028664,             0.79782,             0.74602,             0.84447,             0.54677,           0.0063141,           0.0068862,           0.0055261,            0.009397,            0.009397,            0.009397
                  69,            0.028733,            0.018155,            0.029544,             0.70347,             0.64671,             0.72623,             0.43828,           0.0074791,           0.0076964,           0.0096674,            0.009388,            0.009388,            0.009388
                  70,            0.028795,            0.018485,             0.02944,             0.74507,             0.80573,              0.8376,             0.53391,           0.0064972,           0.0075572,           0.0041361,            0.009379,            0.009379,            0.009379
                  71,            0.028374,            0.018164,            0.028645,             0.71009,             0.63644,             0.72538,             0.42058,           0.0084086,            0.007501,           0.0064437,             0.00937,             0.00937,             0.00937
                  72,            0.029017,            0.017966,            0.028257,             0.71828,             0.77213,             0.81251,              0.5375,           0.0056502,            0.007692,           0.0062917,            0.009361,            0.009361,            0.009361
                  73,            0.028375,            0.018482,            0.029305,             0.78055,             0.75088,             0.83042,             0.55587,           0.0066084,           0.0068789,           0.0051983,            0.009352,            0.009352,            0.009352
                  74,            0.028014,            0.018293,            0.028034,             0.68881,             0.69841,             0.75105,             0.44333,           0.0082861,           0.0077548,           0.0066329,            0.009343,            0.009343,            0.009343
                  75,            0.027912,            0.018016,            0.027706,             0.73182,              0.7911,             0.84646,             0.56352,           0.0060107,           0.0080402,           0.0051965,            0.009334,            0.009334,            0.009334
                  76,            0.028185,            0.017873,            0.027148,             0.76704,             0.81718,              0.8707,             0.63231,           0.0054062,            0.006348,           0.0037293,            0.009325,            0.009325,            0.009325
                  77,              0.0278,            0.018212,            0.028679,             0.70023,             0.82796,             0.85968,             0.63185,           0.0056732,           0.0065555,           0.0035756,            0.009316,            0.009316,            0.009316
                  78,            0.027594,            0.018038,            0.027068,              0.7854,             0.82941,             0.89553,             0.65313,           0.0062256,           0.0063684,           0.0026155,            0.009307,            0.009307,            0.009307
                  79,            0.027891,            0.018039,            0.026239,             0.71583,              0.7852,             0.84451,              0.5433,            0.006548,            0.007117,           0.0036972,            0.009298,            0.009298,            0.009298
                  80,            0.027003,            0.018074,            0.028573,             0.75342,             0.84755,             0.88627,             0.66075,           0.0055963,             0.00715,           0.0032635,            0.009289,            0.009289,            0.009289
                  81,            0.026996,            0.017942,            0.026511,             0.76024,             0.80697,             0.86829,             0.58929,            0.005826,           0.0073612,           0.0038973,             0.00928,             0.00928,             0.00928
                  82,            0.027318,            0.018187,            0.025614,             0.71351,             0.83436,             0.85453,             0.57981,           0.0059854,           0.0070408,           0.0035028,            0.009271,            0.009271,            0.009271
                  83,            0.027524,            0.018302,            0.026899,             0.70401,             0.77314,             0.82328,             0.56714,           0.0067604,           0.0063526,           0.0031035,            0.009262,            0.009262,            0.009262
                  84,            0.027097,            0.018022,            0.026105,              0.7837,             0.83675,             0.89517,              0.6205,           0.0064654,           0.0065035,            0.002736,            0.009253,            0.009253,            0.009253
                  85,            0.027221,            0.017878,            0.026133,             0.69263,              0.8199,             0.83746,             0.56081,           0.0058603,           0.0065794,           0.0044133,            0.009244,            0.009244,            0.009244
                  86,            0.027671,            0.018111,             0.02463,              0.6739,             0.79826,             0.82497,             0.57559,           0.0067287,           0.0063102,           0.0038546,            0.009235,            0.009235,            0.009235
                  87,            0.027388,            0.017838,            0.025975,             0.76019,             0.82029,             0.86894,             0.61003,           0.0066296,            0.006793,           0.0032609,            0.009226,            0.009226,            0.009226
                  88,            0.027479,            0.018239,            0.025595,             0.69691,             0.86279,             0.86171,             0.56839,           0.0064332,           0.0075679,           0.0025185,            0.009217,            0.009217,            0.009217
                  89,            0.027255,            0.017836,            0.025846,             0.72361,             0.84844,             0.87027,             0.56474,           0.0066103,           0.0071791,           0.0026341,            0.009208,            0.009208,            0.009208
                  90,            0.026844,             0.01792,            0.025885,             0.68989,             0.83924,             0.84384,             0.59659,           0.0060234,           0.0066214,           0.0031168,            0.009199,            0.009199,            0.009199
                  91,            0.026829,            0.017737,            0.024015,             0.74968,             0.82372,             0.88875,             0.57374,           0.0056076,           0.0071378,           0.0020218,             0.00919,             0.00919,             0.00919
                  92,             0.02709,            0.017513,            0.024918,             0.74071,             0.85534,              0.8829,             0.64986,            0.005947,           0.0064021,           0.0025458,            0.009181,            0.009181,            0.009181
                  93,            0.026839,            0.017516,            0.024808,             0.68192,             0.86352,             0.85719,             0.59166,           0.0061861,           0.0069844,           0.0030127,            0.009172,            0.009172,            0.009172
                  94,            0.026537,            0.017615,            0.024356,               0.747,             0.83825,             0.88499,             0.59343,           0.0052383,           0.0069491,           0.0026149,            0.009163,            0.009163,            0.009163
                  95,            0.026834,            0.017715,            0.024672,             0.75214,             0.82566,             0.89185,             0.55791,           0.0056587,           0.0074058,           0.0026267,            0.009154,            0.009154,            0.009154
                  96,             0.02704,            0.017707,            0.024167,              0.7256,             0.81581,             0.84575,             0.53471,           0.0076973,           0.0073869,           0.0033319,            0.009145,            0.009145,            0.009145
                  97,            0.027013,            0.017613,            0.022882,             0.68413,             0.88805,             0.86208,             0.57073,            0.006796,           0.0068362,           0.0022554,            0.009136,            0.009136,            0.009136
                  98,             0.02661,             0.01765,            0.024003,             0.70607,             0.81806,             0.83891,             0.55851,            0.006552,           0.0067348,           0.0034825,            0.009127,            0.009127,            0.009127
                  99,            0.026362,            0.017724,            0.023217,             0.73459,             0.86235,             0.88556,             0.61877,           0.0059113,           0.0067646,           0.0031535,            0.009118,            0.009118,            0.009118
                 100,            0.026358,            0.017706,             0.02313,             0.82544,             0.87616,             0.92936,             0.70536,           0.0050947,           0.0062329,           0.0018539,            0.009109,            0.009109,            0.009109
                 101,            0.026625,            0.018112,            0.023794,             0.69762,             0.87998,             0.88828,             0.64364,           0.0055271,           0.0067346,            0.002124,              0.0091,              0.0091,              0.0091
                 102,            0.026467,            0.017719,            0.024037,             0.73336,             0.89915,             0.90497,             0.67166,           0.0053356,            0.007136,           0.0018975,            0.009091,            0.009091,            0.009091
                 103,            0.026094,            0.017331,            0.023221,             0.74805,             0.89928,             0.90704,             0.58546,           0.0057095,           0.0073592,           0.0017717,            0.009082,            0.009082,            0.009082
                 104,            0.026106,            0.017629,            0.023715,             0.71815,             0.88964,             0.89867,              0.6141,           0.0054922,           0.0074924,           0.0018713,            0.009073,            0.009073,            0.009073
                 105,             0.02643,            0.017604,            0.022244,             0.80535,             0.87498,             0.91223,             0.67855,           0.0052308,           0.0067751,           0.0026554,            0.009064,            0.009064,            0.009064
                 106,            0.026107,            0.017464,            0.023943,              0.7473,              0.8966,             0.91083,             0.66986,           0.0048962,           0.0075688,           0.0019195,            0.009055,            0.009055,            0.009055
                 107,            0.026141,            0.017413,            0.023104,             0.78684,             0.86825,             0.91533,             0.66349,           0.0054069,           0.0077296,           0.0019969,            0.009046,            0.009046,            0.009046
                 108,            0.026097,            0.017269,            0.023077,             0.75754,             0.89912,             0.91259,             0.63684,           0.0063519,           0.0081645,           0.0018684,            0.009037,            0.009037,            0.009037
                 109,            0.026225,            0.017647,             0.02212,             0.79607,             0.86661,             0.92533,             0.68226,           0.0056334,           0.0069134,           0.0014505,            0.009028,            0.009028,            0.009028
                 110,            0.026183,            0.017565,            0.022333,             0.68969,             0.91429,             0.88581,             0.64506,           0.0056607,           0.0070561,           0.0018533,            0.009019,            0.009019,            0.009019
                 111,            0.025585,            0.017181,            0.021517,             0.78045,             0.80712,             0.91254,             0.60751,           0.0050031,            0.007081,           0.0017205,             0.00901,             0.00901,             0.00901
                 112,            0.025865,            0.017271,            0.021714,             0.75275,             0.88065,             0.90134,             0.58443,           0.0060251,           0.0085323,           0.0018903,            0.009001,            0.009001,            0.009001
                 113,            0.025657,            0.017381,            0.021858,             0.79508,             0.90545,             0.92797,             0.69576,           0.0051302,           0.0069354,           0.0018764,            0.008992,            0.008992,            0.008992
                 114,            0.025634,             0.01737,            0.021564,             0.76022,             0.89723,             0.91847,             0.65099,           0.0050032,           0.0068166,           0.0014509,            0.008983,            0.008983,            0.008983
                 115,            0.025961,            0.017284,            0.022401,             0.69339,             0.85261,              0.8648,             0.61567,           0.0063384,           0.0074758,           0.0018619,            0.008974,            0.008974,            0.008974
                 116,            0.025577,            0.017396,            0.021177,             0.75314,              0.8761,               0.913,             0.70129,           0.0049052,           0.0070445,           0.0017462,            0.008965,            0.008965,            0.008965
                 117,            0.025752,            0.017369,            0.021136,             0.73034,             0.90704,             0.90635,             0.67278,             0.00541,            0.006824,           0.0016164,            0.008956,            0.008956,            0.008956
                 118,            0.025401,            0.017254,            0.021591,             0.79361,             0.89655,             0.92634,             0.65893,           0.0050823,           0.0065034,           0.0015468,            0.008947,            0.008947,            0.008947
                 119,            0.025043,            0.017509,            0.021322,             0.77276,             0.91635,             0.92355,             0.65152,           0.0053819,           0.0069754,           0.0015468,            0.008938,            0.008938,            0.008938
                 120,            0.025733,            0.017302,            0.021175,             0.70216,               0.893,             0.87546,             0.55461,           0.0064271,           0.0082755,           0.0020445,            0.008929,            0.008929,            0.008929
                 121,            0.025335,            0.016958,            0.021294,             0.68576,             0.91245,             0.88999,             0.64799,           0.0052111,           0.0075142,           0.0019156,             0.00892,             0.00892,             0.00892
                 122,            0.025343,             0.01732,            0.021331,             0.77661,             0.91676,             0.94068,             0.72396,            0.004996,           0.0067852,           0.0011838,            0.008911,            0.008911,            0.008911
                 123,            0.025534,            0.017215,            0.020348,             0.78498,             0.92624,             0.93336,             0.71057,           0.0050698,            0.006445,           0.0015193,            0.008902,            0.008902,            0.008902
                 124,            0.025355,            0.017374,             0.02031,             0.83907,             0.86799,             0.92357,             0.67146,           0.0060024,           0.0061868,           0.0024575,            0.008893,            0.008893,            0.008893
                 125,            0.025434,            0.017314,            0.021083,              0.8038,             0.89282,             0.92362,             0.61718,           0.0065721,           0.0076127,           0.0015556,            0.008884,            0.008884,            0.008884
                 126,            0.024925,              0.0171,            0.021594,             0.68639,             0.92712,             0.90165,             0.58954,            0.005737,           0.0074115,            0.001214,            0.008875,            0.008875,            0.008875
